"Table","Year","Month","Variable","Value"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"DEC","BSH","142258"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"TOTAL","BSH","1532295"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"JAN","BSH","87244"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"FEB","BSH","151232"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"MAR","BSH","82468"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"APR","BSH","147296"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"MAY","BSH","152380"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"JUN","BSH","106406"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"JUL","BSH","97388"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"AUG","BSH","103620"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"SEP","BSH","159576"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"OCT","BSH","149400"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"NOV","BSH","122119"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"DEC","BSH","73726"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"TOTAL","BSH","1432855"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"JAN","BSH","74167"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"FEB","BSH","74132"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"MAR","BSH","94956"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"APR","BSH","150932"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"MAY","BSH","178713"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"JUN","BSH","106419"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"JUL","BSH","74288"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"AUG","BSH","62790"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"SEP","BSH","164650"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"OCT","BSH","162560"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"NOV","BSH","122577"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"DEC","BSH","140927"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"TOTAL","BSH","1407111"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"JAN","BSH","121066"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"FEB","BSH","110330"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"MAR","BSH","148120"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"APR","BSH","162576"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"MAY","BSH","167209"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"JUN","BSH","89548"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"JUL","BSH","56940"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"AUG","BSH","50381"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"SEP","BSH","107234"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"OCT","BSH","138818"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"NOV","BSH","123205"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"DEC","BSH","85646"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"TOTAL","BSH","1361073"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"JAN","LHQ","164447"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"FEB","LHQ","157433"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"MAR","LHQ","167886"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"APR","LHQ","165243"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"MAY","LHQ","171161"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"JUN","LHQ","127689"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"JUL","LHQ","80119"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"AUG","LHQ","67927"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"SEP","LHQ","93793"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"OCT","LHQ","134838"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"NOV","LHQ","167694"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"DEC","LHQ","66252"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"TOTAL","LHQ","1564482"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"JAN","LHQ","172513"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"FEB","LHQ","160176"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"MAR","LHQ","180416"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"APR","LHQ","172996"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"MAY","LHQ","164140"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"JUN","LHQ","96144"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"JUL","LHQ","75259"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"AUG","LHQ","70905"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"SEP","LHQ","142808"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"OCT","LHQ","135310"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"NOV","LHQ","138130"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"DEC","LHQ","149777"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"TOTAL","LHQ","1658574"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"JAN","LHQ","126474"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"FEB","LHQ","90987"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"MAR","LHQ","129507"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"APR","LHQ","153097"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"MAY","LHQ","169858"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"JUN","LHQ","171470"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"JUL","LHQ","53418"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"AUG","LHQ","87167"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"SEP","LHQ","167755"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"OCT","LHQ","164674"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"NOV","LHQ","151177"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"DEC","LHQ","189149"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"TOTAL","LHQ","1654733"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"JAN","LHQ","89787"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"FEB","LHQ","133503"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"MAR","LHQ","185222"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"APR","LHQ","179828"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"MAY","LHQ","166256"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"JUN","LHQ","154464"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"JUL","LHQ","78511"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"AUG","LHQ","60690"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"SEP","LHQ","102319"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"OCT","LHQ","147875"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"NOV","LHQ","175170"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"DEC","LHQ","149883"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"TOTAL","LHQ","1623508"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"JAN","LHQ","183360"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"FEB","LHQ","167978"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"MAR","LHQ","186971"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"APR","LHQ","180628"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"MAY","LHQ","179605"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"JUN","LHQ","130295"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"JUL","LHQ","39096"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"AUG","LHQ","85890"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"SEP","LHQ","136626"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"OCT","LHQ","31404"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"NOV","LHQ","172790"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"DEC","LHQ","133615"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"TOTAL","LHQ","1628258"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"JAN","LHQ","80890"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"FEB","LHQ","145736"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"MAR","LHQ","178180"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"APR","LHQ","149886"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"MAY","LHQ","175185"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"JUN","LHQ","129293"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"JUL","LHQ","83968"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"AUG","LHQ","96205"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"SEP","LHQ","149359"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"OCT","LHQ","187011"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"NOV","LHQ","143948"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"DEC","LHQ","137286"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"TOTAL","LHQ","1656947"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"JAN","LHQ","82749"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"FEB","LHQ","128933"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"MAR","LHQ","174655"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"APR","LHQ","177088"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"MAY","LHQ","182668"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"JUN","LHQ","134525"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"JUL","LHQ","94482"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"AUG","LHQ","101053"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"SEP","LHQ","139079"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"OCT","LHQ","119152"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"NOV","LHQ","135299"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"DEC","LHQ","113369"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"TOTAL","LHQ","1583052"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"JAN","LHQ","174949"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"FEB","LHQ","108740"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"MAR","LHQ","144226"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"APR","LHQ","154659"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"MAY","LHQ","175615"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"JUN","LHQ","80652"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"JUL","LHQ","72204"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"AUG","LHQ","69921"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"SEP","LHQ","164246"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"OCT","LHQ","117341"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"NOV","LHQ","116562"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"DEC","LHQ","127938"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"TOTAL","LHQ","1507053"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"JAN","LHQ","152146"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"FEB","LHQ","113658"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"MAR","LHQ","121923"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"APR","LHQ","166337"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"MAY","LHQ","177295"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"JUN","LHQ","90823"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"JUL","LHQ","76613"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"AUG","LHQ","67039"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"SEP","LHQ","130630"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"OCT","LHQ","132880"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"NOV","LHQ","137953"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"DEC","LHQ","116828"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"TOTAL","LHQ","1484125"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"JAN","LHQ","124350"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"FEB","LHQ","59909"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"MAR","LHQ","135112"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"APR","LHQ","159436"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"MAY","LHQ","175187"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"JUN","LHQ","81937"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"JUL","LHQ","74586"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"AUG","LHQ","71543"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"SEP","LHQ","132102"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"OCT","LHQ","129024"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"NOV","LHQ","126520"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"DEC","LHQ","141004"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"TOTAL","LHQ","1410710"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"JAN","LHQ","89520"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"FEB","LHQ","106851"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"MAR","LHQ","137060"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"APR","LHQ","167936"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"MAY","LHQ","178581"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"JUN","LHQ","91262"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"JUL","LHQ","77895"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"AUG","LHQ","27708"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"SEP","LHQ","164659"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"OCT","LHQ","174641"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"NOV","LHQ","170763"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"DEC","LHQ","142079"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"TOTAL","LHQ","1528955"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"JAN","LHQ","87148"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"FEB","LHQ","151087"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"MAR","LHQ","82207"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"APR","LHQ","146946"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"MAY","LHQ","151978"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"JUN","LHQ","106010"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"JUL","LHQ","96994"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"AUG","LHQ","103302"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"SEP","LHQ","159275"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"OCT","LHQ","149128"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"NOV","LHQ","121893"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"DEC","LHQ","73547"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"TOTAL","LHQ","1429515"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"JAN","LHQ","74071"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"FEB","LHQ","73987"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"MAR","LHQ","94695"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"APR","LHQ","150582"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"MAY","LHQ","178311"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"JUN","LHQ","106023"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"JUL","LHQ","73894"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"AUG","LHQ","62472"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"SEP","LHQ","164349"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"OCT","LHQ","162288"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"NOV","LHQ","122351"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"DEC","LHQ","140748"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"TOTAL","LHQ","1403771"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"JAN","LHQ","120970"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"FEB","LHQ","110185"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"MAR","LHQ","147859"
